"Date of Download: 2024-06-06_13:48:38"
"Search Parameters: Data Level:all  Trait List:  Trial List:13000  Accession List:  Plot List:  Plant List:  Location List:  Year List:  Include Timestamp:0  Trait Contains:  Minimum Phenotype:   Maximum Phenotype:  Exclude Phenotype Outlier: 0"

"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","Cassava mosaic disease severity|at harvesting|COMP:0000294","first apical branch height measurement in cm|CO_334:0000106","fresh root yield|CO_334:0000013","number of planted stakes per plot counting|CO_334:0000159","plant height measurement in cm|CO_334:0000018","plant stands harvested counting|CO_334:0000010","sprout count discrete counting|CO_334:0000138","starch content percentage|CO_334:0000071","notes"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13000","2023131DMEPR_stun","2023131DMEPR_stun","RCBD","","","","no","no","2023-May-29","2024-March-20","550","Stung Treng Province, Stung Treng","4991871","IBA920057","IBA057","plot","8251665","2023131DMEPR_stun_rep2_IBA057_9","2","2","9","3","1","test","","0","310","18.5","25","310","2","25","3.0"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13000","2023131DMEPR_stun","2023131DMEPR_stun","RCBD","","","","no","no","2023-May-29","2024-March-20","550","Stung Treng Province, Stung Treng","4991822","IITA-TMS-IBA-980581","IBA581","plot","8251676","2023131DMEPR_stun_rep2_IBA581_14","2","2","14","4","2","test","","0","180","14.4","25","320","9","25","9.2"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13000","2023131DMEPR_stun","2023131DMEPR_stun","RCBD","","","","no","no","2023-May-29","2024-March-20","550","Stung Treng Province, Stung Treng","2864209","KM140","KM14","plot","8251653","2023131DMEPR_stun_rep2_KM14_15","2","2","15","4","3","check","","2","150","22.3","25","150","9","24","17.2"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13000","2023131DMEPR_stun","2023131DMEPR_stun","RCBD","","","","no","no","2023-May-29","2024-March-20","550","Stung Treng Province, Stung Treng","8251618","KM325","","plot","8251670","2023131DMEPR_stun_rep2_KM325_10","2","2","10","3","2","check","","0","210","28.2","25","280","9","25","14.7"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13000","2023131DMEPR_stun","2023131DMEPR_stun","RCBD","","","","no","no","2023-May-29","2024-March-20","550","Stung Treng Province, Stung Treng","2451401","KU50","","plot","8251659","2023131DMEPR_stun_rep2_KU50_12","2","2","12","3","4","check","","0","190","29.4","25","290","9","25","18.1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13000","2023131DMEPR_stun","2023131DMEPR_stun","RCBD","","","","no","no","2023-May-29","2024-March-20","550","Stung Treng Province, Stung Treng","39671","TMEB419","","plot","8251662","2023131DMEPR_stun_rep2_TMEB419_13","2","2","13","4","1","test","","0","320","27.4","25","320","7","23","21.8"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13000","2023131DMEPR_stun","2023131DMEPR_stun","RCBD","","","","no","no","2023-May-29","2024-March-20","550","Stung Treng Province, Stung Treng","2732021","CR24-3","CR243","plot","8251654","2023131DMEPR_stun_rep3_CR243_18","3","3","18","5","2","test","","0","90","20.3","25","170","9","25","7.9"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13000","2023131DMEPR_stun","2023131DMEPR_stun","RCBD","","","","no","no","2023-May-29","2024-March-20","550","Stung Treng Province, Stung Treng","274835","CR52","","plot","8251672","2023131DMEPR_stun_rep3_CR52_19","3","3","19","5","3","test","","0","95","23.1","25","220","9","25","13.4"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13000","2023131DMEPR_stun","2023131DMEPR_stun","RCBD","","","","no","no","2023-May-29","2024-March-20","550","Stung Treng Province, Stung Treng","4991871","IBA920057","IBA057","plot","8251674","2023131DMEPR_stun_rep3_IBA057_21","3","3","21","6","1","test","","0","180","19.3","25","270","9","25","14.0"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13000","2023131DMEPR_stun","2023131DMEPR_stun","RCBD","","","","no","no","2023-May-29","2024-March-20","550","Stung Treng Province, Stung Treng","4991822","IITA-TMS-IBA-980581","IBA581","plot","8251657","2023131DMEPR_stun_rep3_IBA581_24","3","3","24","6","4","test","","0","100","14.4","25","300","9","25","17.4"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13000","2023131DMEPR_stun","2023131DMEPR_stun","RCBD","","","","no","no","2023-May-29","2024-March-20","550","Stung Treng Province, Stung Treng","2864209","KM140","KM14","plot","8251669","2023131DMEPR_stun_rep3_KM14_17","3","3","17","5","1","check","","2","160","24.7","25","160","9","25","20.1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13000","2023131DMEPR_stun","2023131DMEPR_stun","RCBD","","","","no","no","2023-May-29","2024-March-20","550","Stung Treng Province, Stung Treng","8251618","KM325","","plot","8251668","2023131DMEPR_stun_rep3_KM325_23","3","3","23","6","3","check","","0","180","46.7","25","180","9","25","17.6"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13000","2023131DMEPR_stun","2023131DMEPR_stun","RCBD","","","","no","no","2023-May-29","2024-March-20","550","Stung Treng Province, Stung Treng","2451401","KU50","","plot","8251664","2023131DMEPR_stun_rep3_KU50_20","3","3","20","5","4","check","","0","230","34.9","25","230","9","25","17.6"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13000","2023131DMEPR_stun","2023131DMEPR_stun","RCBD","","","","no","no","2023-May-29","2024-March-20","550","Stung Treng Province, Stung Treng","39671","TMEB419","","plot","8251667","2023131DMEPR_stun_rep3_TMEB419_22","3","3","22","6","2","test","","0","160","17.3","25","160","8","20","15.5"," (Operator: lizbethpino, Time: )"
