"Date of Download: 2024-06-06_13:47:50"
"Search Parameters: Data Level:all  Trait List:  Trial List:12999  Accession List:  Plot List:  Plant List:  Location List:  Year List:  Include Timestamp:0  Trait Contains:  Minimum Phenotype:   Maximum Phenotype:  Exclude Phenotype Outlier: 0"

"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","Cassava mosaic disease severity|at harvesting|COMP:0000294","fresh root yield|CO_334:0000013","plant stands harvested counting|CO_334:0000010","root number per plot counting|CO_334:0000011","starch content percentage|CO_334:0000071","notes"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12999","2023130DMEPR_anlo","2023130DMEPR_anlo","RCBD","","","","no","no","2023-May-26","2024-March-14","549","Anlong Veng District, Oddar Meanchey province","8251618","KM325","","plot","8251632","2023130DMEPR_anlo_rep2_KM325_13","2","2","13","3","3","check","","4","34.1","8","11","24.5"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12999","2023130DMEPR_anlo","2023130DMEPR_anlo","RCBD","","","","no","no","2023-May-26","2024-March-14","549","Anlong Veng District, Oddar Meanchey province","2451401","KU50","","plot","8251627","2023130DMEPR_anlo_rep2_KU50_11","2","2","11","3","1","check","","6","40.6","8","15","24.8"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12999","2023130DMEPR_anlo","2023130DMEPR_anlo","RCBD","","","","no","no","2023-May-26","2024-March-14","549","Anlong Veng District, Oddar Meanchey province","8251621","R5","","plot","8251630","2023130DMEPR_anlo_rep2_R5_12","2","2","12","3","2","check","","0","33.9","9","14","22.8"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12999","2023130DMEPR_anlo","2023130DMEPR_anlo","RCBD","","","","no","no","2023-May-26","2024-March-14","549","Anlong Veng District, Oddar Meanchey province","8251622","TMEB-419","","plot","8251635","2023130DMEPR_anlo_rep2_TMEB-419_20","2","2","20","4","1","test","","1","34.3","7","10","18.4"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12999","2023130DMEPR_anlo","2023130DMEPR_anlo","RCBD","","","","no","no","2023-May-26","2024-March-14","549","Anlong Veng District, Oddar Meanchey province","61468","AR35-1","AR35,AR351","plot","8251639","2023130DMEPR_anlo_rep3_AR35-1_30","3","3","30","6","1","test","","4","20.0","7","14","14.5"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12999","2023130DMEPR_anlo","2023130DMEPR_anlo","RCBD","","","","no","no","2023-May-26","2024-March-14","549","Anlong Veng District, Oddar Meanchey province","61463","CR13-8","","plot","8251634","2023130DMEPR_anlo_rep3_CR13-8_27","3","3","27","6","4","test","","3","21.1","9","13","20.3"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12999","2023130DMEPR_anlo","2023130DMEPR_anlo","RCBD","","","","no","no","2023-May-26","2024-March-14","549","Anlong Veng District, Oddar Meanchey province","2732021","CR24-3","CR243","plot","8251640","2023130DMEPR_anlo_rep3_CR24-3_22","3","3","22","5","2","test","","5","26.7","9","17","24.5"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12999","2023130DMEPR_anlo","2023130DMEPR_anlo","RCBD","","","","no","no","2023-May-26","2024-March-14","549","Anlong Veng District, Oddar Meanchey province","42440","CR52A4","CR52A-4","plot","8251647","2023130DMEPR_anlo_rep3_CR52A-4_28","3","3","28","6","3","test","","0","29.4","9","19","25.3"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12999","2023130DMEPR_anlo","2023130DMEPR_anlo","RCBD","","","","no","no","2023-May-26","2024-March-14","549","Anlong Veng District, Oddar Meanchey province","8251619","IBA-920057","","plot","8251625","2023130DMEPR_anlo_rep3_IBA-920057_29","3","3","29","6","2","test","","0","13.3","9","11","22.7"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12999","2023130DMEPR_anlo","2023130DMEPR_anlo","RCBD","","","","no","no","2023-May-26","2024-March-14","549","Anlong Veng District, Oddar Meanchey province","8251620","IBA-980581","","plot","8251642","2023130DMEPR_anlo_rep3_IBA-980581_26","3","3","26","6","5","test","","0","35.6","9","19","22.7"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12999","2023130DMEPR_anlo","2023130DMEPR_anlo","RCBD","","","","no","no","2023-May-26","2024-March-14","549","Anlong Veng District, Oddar Meanchey province","8251618","KM325","","plot","8251649","2023130DMEPR_anlo_rep3_KM325_21","3","3","21","5","1","check","","4","26.1","9","12","18.2"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12999","2023130DMEPR_anlo","2023130DMEPR_anlo","RCBD","","","","no","no","2023-May-26","2024-March-14","549","Anlong Veng District, Oddar Meanchey province","2451401","KU50","","plot","8251628","2023130DMEPR_anlo_rep3_KU50_24","3","3","24","5","4","check","","5","30.7","7","18","21.4"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12999","2023130DMEPR_anlo","2023130DMEPR_anlo","RCBD","","","","no","no","2023-May-26","2024-March-14","549","Anlong Veng District, Oddar Meanchey province","8251621","R5","","plot","8251646","2023130DMEPR_anlo_rep3_R5_25","3","3","25","5","5","check","","1","33.8","8","12","23.9"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12999","2023130DMEPR_anlo","2023130DMEPR_anlo","RCBD","","","","no","no","2023-May-26","2024-March-14","549","Anlong Veng District, Oddar Meanchey province","8251622","TMEB-419","","plot","8251643","2023130DMEPR_anlo_rep3_TMEB-419_23","3","3","23","5","3","test","","1","65.0","3","12","27.8"," (Operator: lizbethpino, Time: )"
