"Date of Download: 2024-06-06_13:49:11"
"Search Parameters: Data Level:all  Trait List:  Trial List:13001  Accession List:  Plot List:  Plant List:  Location List:  Year List:  Include Timestamp:0  Trait Contains:  Minimum Phenotype:   Maximum Phenotype:  Exclude Phenotype Outlier: 0"

"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","fresh root yield|CO_334:0000013","fresh shoot weight measurement in kg per plot|CO_334:0000016","number of planted stakes per plot counting|CO_334:0000159","plant height measurement in cm|CO_334:0000018","root weight in water|CO_334:0000158","rotted storage root counting|CO_334:0000084","sprout count discrete counting|CO_334:0000138","starch content percentage|CO_334:0000071","notes"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13001","2023132DMEPR_naph","2023132DMEPR_naph","RCBD","","","","no","no","2023-April-24","2024-February-27","551","Naphok","154913","SM2775-4","","plot","8251703","2023132DMEPR_naph_rep2_SM2775-4_15","2","2","15","3","1","test","","15.3","13","14","320","9.2","1","6","26.8"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13001","2023132DMEPR_naph","2023132DMEPR_naph","RCBD","","","","no","no","2023-April-24","2024-February-27","551","Naphok","230102","CM9912-167","","plot","8251710","2023132DMEPR_naph_rep3_CM9912-167_42","3","3","42","6","1","test","","28.7","11","14","216","17.2","0","6","30.1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13001","2023132DMEPR_naph","2023132DMEPR_naph","RCBD","","","","no","no","2023-April-24","2024-February-27","551","Naphok","268567","GM1263-6","","plot","8251695","2023132DMEPR_naph_rep3_GM1263-6_35","3","3","35","5","7","test","","36.7","14.4","14","235","22","0","6","27.6"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13001","2023132DMEPR_naph","2023132DMEPR_naph","RCBD","","","","no","no","2023-April-24","2024-February-27","551","Naphok","8251681","Hanoi1","","plot","8251714","2023132DMEPR_naph_rep3_Hanoi1_34","3","3","34","5","6","test","","37.3","12","14","195","22.4","0","6","30.3"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13001","2023132DMEPR_naph","2023132DMEPR_naph","RCBD","","","","no","no","2023-April-24","2024-February-27","551","Naphok","8251680","Hanoi2","","plot","8251709","2023132DMEPR_naph_rep3_Hanoi2_39","3","3","39","6","4","test","","27.3","13.4","14","250","16.4","0","6","21.9"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13001","2023132DMEPR_naph","2023132DMEPR_naph","RCBD","","","","no","no","2023-April-24","2024-February-27","551","Naphok","8251678","Hanoi3","","plot","8251704","2023132DMEPR_naph_rep3_Hanoi3_29","3","3","29","5","1","test","","20.0","9.8","14","190","12","0","6","24.2"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13001","2023132DMEPR_naph","2023132DMEPR_naph","RCBD","","","","no","no","2023-April-24","2024-February-27","551","Naphok","8251677","Hanoi4","","plot","8251702","2023132DMEPR_naph_rep3_Hanoi4_31","3","3","31","5","3","test","","31.0","15.8","14","216","18.6","0","6","20.0"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13001","2023132DMEPR_naph","2023132DMEPR_naph","RCBD","","","","no","no","2023-April-24","2024-February-27","551","Naphok","8251679","Hanoi5","","plot","8251715","2023132DMEPR_naph_rep3_Hanoi5_41","3","3","41","6","2","test","","38.3","13.6","14","210","23","0","6","22.4"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13001","2023132DMEPR_naph","2023132DMEPR_naph","RCBD","","","","no","no","2023-April-24","2024-February-27","551","Naphok","2451401","KU50","","plot","8251720","2023132DMEPR_naph_rep3_KU50_30","3","3","30","5","2","check","","23.3","16.8","14","210","14","0","6","29.3"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13001","2023132DMEPR_naph","2023132DMEPR_naph","RCBD","","","","no","no","2023-April-24","2024-February-27","551","Naphok","3661327","Rayong11","","plot","8251718","2023132DMEPR_naph_rep3_Rayong11_37","3","3","37","6","6","check","","33.7","9","14","187","20.2","1","6","29.7"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13001","2023132DMEPR_naph","2023132DMEPR_naph","RCBD","","","","no","no","2023-April-24","2024-February-27","551","Naphok","5706299","Rayong72","R72","plot","8251682","2023132DMEPR_naph_rep3_Rayong72_32","3","3","32","5","4","check","","41.0","15","14","272","24.6","0","6","28.9"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13001","2023132DMEPR_naph","2023132DMEPR_naph","RCBD","","","","no","no","2023-April-24","2024-February-27","551","Naphok","140368","SM1127-8","","plot","8251696","2023132DMEPR_naph_rep3_SM1127-8_40","3","3","40","6","3","test","","22.0","10","14","223","13.2","0","6","28.5"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13001","2023132DMEPR_naph","2023132DMEPR_naph","RCBD","","","","no","no","2023-April-24","2024-February-27","551","Naphok","140424","SM1669-5","","plot","8251685","2023132DMEPR_naph_rep3_SM1669-5_33","3","3","33","5","5","test","","32.7","12.2","14","242","19.6","0","6","33.9"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13001","2023132DMEPR_naph","2023132DMEPR_naph","RCBD","","","","no","no","2023-April-24","2024-February-27","551","Naphok","154909","SM2775-2","","plot","8251697","2023132DMEPR_naph_rep3_SM2775-2_38","3","3","38","6","5","test","","27.3","14.4","14","256","16.4","0","6","28.0"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","13001","2023132DMEPR_naph","2023132DMEPR_naph","RCBD","","","","no","no","2023-April-24","2024-February-27","551","Naphok","154913","SM2775-4","","plot","8251686","2023132DMEPR_naph_rep3_SM2775-4_36","3","3","36","6","7","test","","26.7","17","14","259","16","0","6","29.6"," (Operator: lizbethpino, Time: )"
