studyYear,programDbId,programName,programDescription,studyDbId,studyName,studyDescription,studyDesign,plotWidth,plotLength,fieldSize,fieldTrialIsPlannedToBeGenotyped,fieldTrialIsPlannedToCross,plantingDate,harvestDate,locationDbId,locationName,germplasmDbId,germplasmName,germplasmSynonyms,observationLevel,observationUnitDbId,observationUnitName,replicate,blockNumber,plotNumber,rowNumber,colNumber,entryType,plantNumber,first apical branch height measurement in cm|CO_334:0000106,fresh root yield|CO_334:0000013,number of planted stakes per plot counting|CO_334:0000159,plant stands harvested counting|CO_334:0000010,root number per plot counting|CO_334:0000011,rotted storage root counting|CO_334:0000084,starch content percentage|CO_334:0000071,notes
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",13003,2022134DMEPR_that,2022134DMEPR_that,RCBD,,,,no,no,2023-December-17,2023-October-29,552,"Thateng district, Sekong province",2451401,KU50,,plot,8251788,2022134DMEPR_that_rep1_KU50_11,1,1,11,2,4,check,,196,36.3,14,6,55,0,32.90745402," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",13003,2022134DMEPR_that,2022134DMEPR_that,RCBD,,,,no,no,2023-December-17,2023-October-29,552,"Thateng district, Sekong province",1342441,IBA980505,,plot,8251770,2022134DMEPR_that_rep1_IBA980505_12,1,1,12,2,3,test,,42,9.3,14,6,31,0,15.97125193," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",13003,2022134DMEPR_that,2022134DMEPR_that,RCBD,,,,no,no,2023-December-17,2023-October-29,552,"Thateng district, Sekong province",4991871,IBA920057,IBA057,plot,8251767,2022134DMEPR_that_rep1_IBA920057_13,1,1,13,2,2,test,,185,14.7,14,4,22,0,20.40708955," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",13003,2022134DMEPR_that,2022134DMEPR_that,RCBD,,,,no,no,2023-December-17,2023-October-29,552,"Thateng district, Sekong province",5706299,Rayong72,R72,plot,8251794,2022134DMEPR_that_rep1_Rayong72_14,1,1,14,2,1,check,,176,40,14,6,61,0,32.80689655," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",13003,2022134DMEPR_that,2022134DMEPR_that,RCBD,,,,no,no,2023-December-17,2023-October-29,552,"Thateng district, Sekong province",1342441,IBA980505,,plot,8251782,2022134DMEPR_that_rep2_IBA980505_15,2,2,15,3,1,test,,42,12,14,6,38,0,14.78272251," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",13003,2022134DMEPR_that,2022134DMEPR_that,RCBD,,,,no,no,2023-December-17,2023-October-29,552,"Thateng district, Sekong province",723,IITA-TMS-IBA980581,"98/0581,980581,Dixon,I980581,IBA980581,IITA-IBA980581,IITA-TMS-980581,TMS 98/0581,TMS-I980581",plot,8251766,2022134DMEPR_that_rep2_IBA980581_16,2,2,16,3,2,test,,178.5,12.3,14,6,54,0,19.12590529," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",13003,2022134DMEPR_that,2022134DMEPR_that,RCBD,,,,no,no,2023-December-17,2023-October-29,552,"Thateng district, Sekong province",154909,SM2775-2,,plot,8251799,2022134DMEPR_that_rep2_SM2775-2_17,2,2,17,3,3,test,,111.5,25,14,5,50,0,27.2649494," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",13003,2022134DMEPR_that,2022134DMEPR_that,RCBD,,,,no,no,2023-December-17,2023-October-29,552,"Thateng district, Sekong province",4991871,IBA920057,IBA057,plot,8251780,2022134DMEPR_that_rep2_IBA920057_18,2,2,18,3,4,test,,164.5,4.3,14,6,10,0,17.70642202," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",13003,2022134DMEPR_that,2022134DMEPR_that,RCBD,,,,no,no,2023-December-17,2023-October-29,552,"Thateng district, Sekong province",140424,SM1669-5,,plot,8251789,2022134DMEPR_that_rep2_SM1669-5_19,2,2,19,3,5,test,,250.5,21.7,14,6,72,0,28.40680571," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",13003,2022134DMEPR_that,2022134DMEPR_that,RCBD,,,,no,no,2023-December-17,2023-October-29,552,"Thateng district, Sekong province",268567,GM1263-6,,plot,8251777,2022134DMEPR_that_rep2_GM1263-6_20,2,2,20,3,6,test,,182.5,20.3,14,6,43,4,26.74298441," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",13003,2022134DMEPR_that,2022134DMEPR_that,RCBD,,,,no,no,2023-December-17,2023-October-29,552,"Thateng district, Sekong province",4926239,IBA972205,,plot,8251797,2022134DMEPR_that_rep2_IBA972205_21,2,2,21,3,7,test,,58.5,13.3,14,6,40,0,21.78732171," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",13003,2022134DMEPR_that,2022134DMEPR_that,RCBD,,,,no,no,2023-December-17,2023-October-29,552,"Thateng district, Sekong province",140368,SM1127-8,,plot,8251803,2022134DMEPR_that_rep2_SM1127-8_22,2,2,22,4,7,test,,192,21.7,14,6,51,4,27.31081081," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",13003,2022134DMEPR_that,2022134DMEPR_that,RCBD,,,,no,no,2023-December-17,2023-October-29,552,"Thateng district, Sekong province",3661327,Rayong11,,plot,8251801,2022134DMEPR_that_rep2_Rayong11_23,2,2,23,4,6,check,,136,20.3,14,6,45,3,34.16076294," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",13003,2022134DMEPR_that,2022134DMEPR_that,RCBD,,,,no,no,2023-December-17,2023-October-29,552,"Thateng district, Sekong province",230102,CM9912-167,,plot,8251783,2022134DMEPR_that_rep2_CM9912-167_24,2,2,24,4,5,test,,232,30.7,14,6,64,4,31.88670757," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",13003,2022134DMEPR_that,2022134DMEPR_that,RCBD,,,,no,no,2023-December-17,2023-October-29,552,"Thateng district, Sekong province",5706299,Rayong72,R72,plot,8251792,2022134DMEPR_that_rep2_Rayong72_25,2,2,25,4,4,check,,147.5,26.7,14,6,47,0,31.88532478," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",13003,2022134DMEPR_that,2022134DMEPR_that,RCBD,,,,no,no,2023-December-17,2023-October-29,552,"Thateng district, Sekong province",2451401,KU50,,plot,8251800,2022134DMEPR_that_rep2_KU50_26,2,2,26,4,3,check,,185,36.3,14,6,45,1,33.38168193," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",13003,2022134DMEPR_that,2022134DMEPR_that,RCBD,,,,no,no,2023-December-17,2023-October-29,552,"Thateng district, Sekong province",154913,SM2775-4,,plot,8251768,2022134DMEPR_that_rep2_SM2775-4_27,2,2,27,4,2,test,,116,30,14,6,57,0,30.53522907," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",13003,2022134DMEPR_that,2022134DMEPR_that,RCBD,,,,no,no,2023-December-17,2023-October-29,552,"Thateng district, Sekong province",39671,TMEB419,,plot,8251793,2022134DMEPR_that_rep2_TMEB419_28,2,2,28,4,1,test,,228,39.333,14,5,59,0,28.82360248," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",13003,2022134DMEPR_that,2022134DMEPR_that,RCBD,,,,no,no,2023-December-17,2023-October-29,552,"Thateng district, Sekong province",268567,GM1263-6,,plot,8251779,2022134DMEPR_that_rep3_GM1263-6_29,3,3,29,5,1,test,,168,21.33,14,6,43,0,31.37327044," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",13003,2022134DMEPR_that,2022134DMEPR_that,RCBD,,,,no,no,2023-December-17,2023-October-29,552,"Thateng district, Sekong province",140368,SM1127-8,,plot,8251802,2022134DMEPR_that_rep3_SM1127-8_30,3,3,30,5,2,test,,181,24.7,14,6,53,0,32.80943026," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",13003,2022134DMEPR_that,2022134DMEPR_that,RCBD,,,,no,no,2023-December-17,2023-October-29,552,"Thateng district, Sekong province",723,IITA-TMS-IBA980581,"98/0581,980581,Dixon,I980581,IBA980581,IITA-IBA980581,IITA-TMS-980581,TMS 98/0581,TMS-I980581",plot,8251781,2022134DMEPR_that_rep3_IBA980581_31,3,3,31,5,3,test,,170,12.7,14,6,48,0,17.32438563," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",13003,2022134DMEPR_that,2022134DMEPR_that,RCBD,,,,no,no,2023-December-17,2023-October-29,552,"Thateng district, Sekong province",3661327,Rayong11,,plot,8251778,2022134DMEPR_that_rep3_Rayong11_32,3,3,32,5,4,check,,190,21.3,14,6,53,0,32.53333333," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",13003,2022134DMEPR_that,2022134DMEPR_that,RCBD,,,,no,no,2023-December-17,2023-October-29,552,"Thateng district, Sekong province",39671,TMEB419,,plot,8251775,2022134DMEPR_that_rep3_TMEB419_33,3,3,33,5,5,test,,176.5,16.667,14,3,21,0,29.43217877," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",13003,2022134DMEPR_that,2022134DMEPR_that,RCBD,,,,no,no,2023-December-17,2023-October-29,552,"Thateng district, Sekong province",2451401,KU50,,plot,8251790,2022134DMEPR_that_rep3_KU50_34,3,3,34,5,6,check,,178.5,21,14,5,36,2,33.92693111," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",13003,2022134DMEPR_that,2022134DMEPR_that,RCBD,,,,no,no,2023-December-17,2023-October-29,552,"Thateng district, Sekong province",1342441,IBA980505,,plot,8251785,2022134DMEPR_that_rep3_IBA980505_35,3,3,35,5,7,test,,45,14.3,14,5,34,2,23.46968085," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",13003,2022134DMEPR_that,2022134DMEPR_that,RCBD,,,,no,no,2023-December-17,2023-October-29,552,"Thateng district, Sekong province",154913,SM2775-4,,plot,8251773,2022134DMEPR_that_rep3_SM2775-4_36,3,3,36,6,7,test,,140,26,14,5,54,0,33.28502326," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",13003,2022134DMEPR_that,2022134DMEPR_that,RCBD,,,,no,no,2023-December-17,2023-October-29,552,"Thateng district, Sekong province",4991871,IBA920057,IBA057,plot,8251804,2022134DMEPR_that_rep3_IBA920057_37,3,3,37,6,6,test,,152.5,14,14,5,28,0,22.28611111," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",13003,2022134DMEPR_that,2022134DMEPR_that,RCBD,,,,no,no,2023-December-17,2023-October-29,552,"Thateng district, Sekong province",230102,CM9912-167,,plot,8251787,2022134DMEPR_that_rep3_CM9912-167_38,3,3,38,6,5,test,,240.5,31,14,6,85,0,33.12881356," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",13003,2022134DMEPR_that,2022134DMEPR_that,RCBD,,,,no,no,2023-December-17,2023-October-29,552,"Thateng district, Sekong province",4926239,IBA972205,,plot,8251796,2022134DMEPR_that_rep3_IBA972205_39,3,3,39,6,4,test,,59.5,17.7,14,5,36,0,21.92857143," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",13003,2022134DMEPR_that,2022134DMEPR_that,RCBD,,,,no,no,2023-December-17,2023-October-29,552,"Thateng district, Sekong province",140424,SM1669-5,,plot,8251784,2022134DMEPR_that_rep3_SM1669-5_40,3,3,40,6,3,test,,234,34.3,14,6,87,0,29.14698795," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",13003,2022134DMEPR_that,2022134DMEPR_that,RCBD,,,,no,no,2023-December-17,2023-October-29,552,"Thateng district, Sekong province",5706299,Rayong72,R72,plot,8251805,2022134DMEPR_that_rep3_Rayong72_41,3,3,41,6,2,check,,169.5,32.7,14,6,58,0,31.35185841," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",13003,2022134DMEPR_that,2022134DMEPR_that,RCBD,,,,no,no,2023-December-17,2023-October-29,552,"Thateng district, Sekong province",154909,SM2775-2,,plot,8251791,2022134DMEPR_that_rep3_SM2775-2_42,3,3,42,6,1,test,,133.5,36,14,6,74,0,30.60373057," (Operator: lizbethpino, Time: )"
